Sn,Ag,Cu,d,Frequency,T,Drop,P,Life
99.3,0,0.7,3,1,125,50,1.65312,1221
99.3,0,0.7,3,1,125,50,1.69955,1171
99.3,0,0.7,3,1,125,50,1.77154,1124
99.3,0,0.7,3,1,125,50,1.82122,1093
99.3,0,0.7,3,1,125,50,2.03453,940
99.3,0,0.7,3,1,125,50,2.15042,866
99.3,0,0.7,3,1,125,50,2.18045,842
99.3,0,0.7,3,1,125,50,2.33646,797
99.3,0,0.7,3,1,125,50,2.40179,797
99.3,0,0.7,3,1,125,50,2.40198,775
99.3,0,0.7,3,1,125,50,2.53849,744
99.3,0,0.7,3,1,125,50,2.68265,724
99.3,0,0.7,3,1,125,50,2.75799,695
99.3,0,0.7,3,1,125,50,2.8747,676
99.3,0,0.7,3,1,125,50,2.9966,640
99.3,0,0.7,3,1,125,50,3.08076,614
99.3,0,0.7,3,1,125,50,3.25612,573
99.3,0,0.7,3,1,125,50,3.25638,558
99.3,0,0.7,3,1,125,50,3.34785,535
99.3,0,0.7,3,1,125,50,3.53782,528
99.3,0,0.7,3,1,125,50,3.89677,506
99.3,0,0.7,3,1,125,50,3.89693,499
99.3,0,0.7,3,1,125,50,3.95152,479
99.3,0,0.7,3,1,125,50,4.06268,454
99.3,0,0.7,3,1,125,50,4.06301,441
99.3,0,0.7,3,1,125,50,4.11993,424
99.3,0,0.7,3,1,125,50,4.23547,412
99.3,0,0.7,3,1,125,50,4.35407,406
99.3,0,0.7,3,1,125,50,4.53851,390
99.3,0,0.7,3,1,125,50,4.73056,379
99.3,0,0.7,3,1,125,50,4.86323,369
99.3,0,0.7,3,1,125,50,4.93115,359
99.3,0,0.7,3,1,125,50,5.14004,345
99.3,0,0.7,3,1,125,50,5.35755,335
99.3,0,0.7,3,1,125,50,5.58472,317
99.3,0,0.7,3,1,125,50,5.82153,300
99.3,0,0.7,3,1,125,50,5.9026,296
99.3,0,0.7,3,1,125,50,5.98479,292
99.3,0,0.7,3,1,125,50,6.15238,288
99.3,0,0.7,3,1,125,50,6.23805,284
99.3,0,0.7,3,1,125,50,6.23856,277
99.3,0,0.7,3,1,125,50,6.15364,269
99.3,0,0.7,3,1,125,50,6.23959,262
99.3,0,0.7,3,0.01,125,50,1.22008,1400
99.3,0,0.7,3,0.01,125,50,1.27192,1290
99.3,0,0.7,3,0.01,125,50,1.32596,1187
99.3,0,0.7,3,0.01,125,50,1.38219,1124
99.3,0,0.7,3,0.01,125,50,1.44085,1049
99.3,0,0.7,3,0.01,125,50,1.48132,1007
99.3,0,0.7,3,0.01,125,50,1.52293,966
99.3,0,0.7,3,0.01,125,50,1.63189,915
99.3,0,0.7,3,0.01,125,50,1.72463,878
99.3,0,0.7,3,0.01,125,50,1.74886,831
99.3,0,0.7,3,0.01,125,50,1.84826,797
99.3,0,0.7,3,0.01,125,50,1.84848,765
99.3,0,0.7,3,0.01,125,50,2.03654,676
99.3,0,0.7,3,0.01,125,50,2.12298,631
99.3,0,0.7,3,0.01,125,50,2.15254,622
99.3,0,0.7,3,0.01,125,50,2.30684,565
99.3,0,0.7,3,0.01,125,50,2.37143,558
99.3,0,0.7,3,0.01,125,50,2.43794,542
99.3,0,0.7,3,0.01,125,50,2.50641,520
99.3,0,0.7,3,0.01,125,50,2.50662,506
